,Unnamed: 0,Name,All-Star Year,Age,Team,League,Position,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,First Appearance
225,225,Joe Johnson,2014,32,BRK,NBA,SG,79,79,32.6,5.8,12.9,0.45399999999999996,2.1,5.1,.401,3.8,7.8,0.489,0.5329999999999999,2.0,2.5,0.815,0.6,2.8,3.4,2.7,0.6,0.1,1.5,1.6,15.8,5,False
226,226,Kevin Durant,2014,25,OKC,NBA,SF,81,81,38.5,10.5,20.8,0.503,2.4,6.1,.391,8.1,14.8,0.5489999999999999,0.56,8.7,9.9,0.873,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32.0,4,False
227,227,Kevin Love,2014,25,MIN,NBA,PF,77,77,36.3,8.4,18.5,0.457,2.5,6.6,.376,6.0,11.9,0.502,0.524,6.8,8.2,0.821,2.9,9.6,12.5,4.4,0.8,0.5,2.5,1.8,26.1,2,False
228,228,Blake Griffin,2014,24,LAC,NBA,PF,80,80,35.8,9.0,17.0,0.528,0.2,0.6,.273,8.8,16.4,0.537,0.5329999999999999,6.0,8.4,0.715,2.4,7.1,9.5,3.9,1.2,0.6,2.8,3.3,24.1,3,False
229,229,Stephen Curry,2014,25,GSW,NBA,PG,78,78,36.5,8.4,17.7,0.47100000000000003,3.3,7.9,.424,5.0,9.8,0.509,0.5660000000000001,3.9,4.5,0.885,0.6,3.7,4.3,8.5,1.6,0.2,3.8,2.5,24.0,0,True
230,230,James Harden,2014,24,HOU,NBA,SG,73,73,38.0,7.5,16.5,0.456,2.4,6.6,.366,5.1,9.9,0.515,0.529,7.9,9.1,0.866,0.8,3.9,4.7,6.1,1.6,0.4,3.6,2.4,25.4,1,False
231,231,Chris Paul,2014,28,LAC,NBA,PG,62,62,35.0,6.5,14.0,0.467,1.3,3.4,.368,5.3,10.6,0.498,0.511,4.8,5.6,0.855,0.6,3.7,4.3,10.7,2.5,0.1,2.3,2.5,19.1,5,False
232,232,Dwight Howard,2014,28,HOU,NBA,C,71,71,33.7,6.7,11.3,0.591,0.0,0.1,.286,6.6,11.2,0.594,0.593,4.9,9.0,0.547,3.3,8.9,12.2,1.8,0.8,1.8,3.2,3.4,18.3,7,False
233,233,LaMarcus Aldridge,2014,28,POR,NBA,PF,69,69,36.2,9.4,20.6,0.45799999999999996,0.0,0.2,.200,9.4,20.4,0.461,0.45899999999999996,4.3,5.2,0.8220000000000001,2.4,8.7,11.1,2.6,0.9,1.0,1.8,2.1,23.2,2,False
234,234,Tony Parker,2014,31,SAS,NBA,PG,68,68,29.4,6.7,13.4,0.499,0.4,1.0,.373,6.3,12.5,0.509,0.513,2.9,3.6,0.8109999999999999,0.3,2.0,2.3,5.7,0.5,0.1,2.2,1.3,16.7,5,False
